name|faculty_of|has_phd_info|phd_where
**PROFESSOR LEVITSKY IS ON LEAVE FOR AY23-24**|FORD SCHOOL OF PUBLIC POLICY|98 AND BEFORE THAT HELD SUCH|AMBASSADOR TO BRAZIL FROM 1994-98 AND BEFORE THAT HELD SUCH
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|D., (CUM LAUDE), HARVARD UNIVERSITY, 1967B|D., (CUM LAUDE), HARVARD UNIVERSITY, 1967B
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY, 2007|UNIVERSITY, 2007
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|DIRECTOR OF THE KEVIN XU INITIATIVE ON TECHNOLOGY|DIRECTOR OF THE KEVIN XU INITIATIVE ON TECHNOLOGY
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|AND FEDERALLY FUNDED RESEARCH STUDIES EXAMINING THE IMPLEMENTATION AND IMPACT OF TWO|AND FEDERALLY FUNDED RESEARCH STUDIES EXAMINING THE IMPLEMENTATION AND IMPACT OF TWO
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|AT ILLINOIS STATE UNIVERSITY IN NORMAL, ILLINOIS. IN ADDITION TO RESPONDING TO INCOMING|AT HARRIS SCHOOL OF PUBLIC POLICY, ADAM PROVIDES IT SUPPORT RESPONDING TO INCOMING
ADAM LEIVE|GOLDMAN SCHOOL OF PUBLIC POLICY|IN THE AMERICAN ECONOMIC JOURNAL|IN THE AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS, AMERICAN ECONOMIC JOURNAL
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|D., UNIVERSITY OF PITTSBURGH, 1971M|D., UNIVERSITY OF PITTSBURGH, 1971M
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|AT HARRIS, DURING WHICH HE TAUGHT ANALYTICAL POLITICS II|AT HARRIS, DURING WHICH HE TAUGHT ANALYTICAL POLITICS II
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|AT SCIENCES PO–PARIS|AT SCIENCES PO–PARIS
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|A JOINT|A JOINT
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|IN MECHANICAL ENGINEERING FROM THE UNIVERSITY OF ILLINOIS|AT THE UNIVERSITY OF CHICAGO. HE RECEIVED HIS
