name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|1967B.A., (WITH HIGH HONORS|HARVARD UNIVERSITY
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|ABHILASH|OXFORD
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|ABSERA|ABSERA
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|ADAM SPENT 4 YEARS|ILLINOIS
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|2018|COLUMBIA
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY|ALEJANDRO|CHICAGO
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY|LUKINA|HER MAJOR INTERESTS LIE
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY|METHODOLOGICALLY|OXFORD UNIVERSITY
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY|MENENDEZ|BOSTON UNIVERSITY
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|YEARS IN DENVER AND CHICAGO|MICHIGAN
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY|AMIR|US
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|HER|WISCONSIN-MADISON
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY|AMERICAN MUSEUM|CHICAGO LAW SCHOOL
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY|HE IS ALWAYS|UNIVERSITY OF CHICAGO
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY|OVERSAW ALL PR CAMPAIGNS|SHE WORKED IN PUBLIC FINANCE
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY|A. NOBLE|SUMMARY]         [FACT SHEET
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY|MEDEARIS|AMERICAN UNIVERSITY OF BEIRUT
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY|SHE EARNED HER PH.D|UCMETA
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY|ANTHONY FOWLER|UNIVERSITY OF CHICAGO
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY|DEVELOPING COUNTRIES|THE LONDON SCHOOL OF ECONOMICS
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY|IN FIVE YEARS|HOWARD UNIVERSITY
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY|NON-COGNITIVE SKILLS|MICHIGAN
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY|HIS MOTHER, SUE DUNCAN|2015
