name|bio|faculty_of
ABHILASH MISHRA|ABHILASH MISHRA IS A SCIENTIST, ENTREPRENEUR, AND EDUCATOR WORKING ON PROBLEMS AT THE INTERSECTION OF EMERGING TECHNOLOGIES AND GLOBAL CHALLENGES. ABHILASH IS THE FOUNDER AND CHIEF SCIENCE OFFICER OF EQUITECH FUTURES, A TALENT NETWORK AND APPLIED RESEARCH LAB DEDICATED TO TECHNOLOGY FOR SOCIAL IMPACT.  ABHILASH IS ALSO THE FOUNDING DIRECTOR OF THE KEVIN XU INITIATIVE ON TECHNOLOGY AND PUBLIC POLICY AT THE HARRIS SCHOOL. HIS CURRENT RESEARCH FOCUSES ON UNDERSTANDING THE OPPORTUNITIES AND ASSOCIATED RISKS OF EMERGING TECHNOLOGIES IN TACKLING GLOBAL CHALLENGES. ABHILASH IS TRAINED AS A PHYSICIST AND HOLDS A PHD FROM CALTECH AND AN MPHYS FROM THE UNIVERSITY OF OXFORD. HE RECEIVED THE RHODES SCHOLARSHIP IN 2008, THE CLINTON GLOBAL INITIATIVE UNIVERSITY DISTINGUISHED ALUMNI AWARD, THE KVPY FELLOWSHIP FROM THE GOVERNMENT OF INDIA, AND THE GOLDMAN SACHS GLOBAL LEADER AWARD. ABHILASH SERVES ON THE BOARDS OF NAWIRITECH AND MEASURING CARBON.|HARRIS SCHOOL OF PUBLIC POLICY
ABSERA MELAKU|ABSERA IS A PUBLIC HEALTH PRACTITIONER WITH OVER TEN YEARS OF MANAGEMENT EXPERIENCE IN THE NONPROFIT, GOVERNMENT, PHILANTHROPY, AND ACADEMIC SECTORS. IN HER CURRENT ROLE AS ASSOCIATE DIRECTOR OF CREDENTIAL PROGRAMS, ABSERA SUPPORTS THE DESIGN, IMPLEMENTATION, AND EVALUATION OF VARIOUS HARRIS SCHOOL CREDENTIAL AND NON-DEGREE PROGRAMS SPANNING TOPICS IN DATA SCIENCE, PUBLIC POLICY, AND LEADERSHIP DEVELOPMENT.   MOST RECENTLY, ABSERA SERVED AS ASSISTANT DIRECTOR OF TRAINING AND COMMUNICATIONS FOR UCHICAGO’S CENTER FOR HEALTH AND THE SOCIAL SCIENCES (CHESS), WHERE SHE MANAGED NUMEROUS FEDERALLY FUNDED TRAINING PROGRAMS SPANNING BASIC, TRANSLATIONAL, CLINICAL, AND SOCIAL SCIENCES. THESE PROGRAMS ENGAGED SCHOLARS ACROSS UNDERGRADUATE, PREDOCTORAL, DUAL-DEGREE, POSTDOCTORAL, AND JUNIOR FACULTY CAREER LEVELS. PRIOR TO JOINING CHESS, ABSERA WAS PROGRAM MANAGER FOR UCHICAGO’S CENTER FOR GLOBAL HEALTH (CGH), WHERE SHE DIRECTED ITS LONG-TERM STRATEGY, DEVELOPED NUMEROUS EDUCATION PROGRAMS, AND WORKED CLOSELY WITH STAKEHOLDERS TO IDENTIFY AREAS OF RESEARCH THAT HAVE POTENTIAL FOR INTERDISCIPLINARY COLLABORATION IN GLOBAL HEALTH. ABSERA ALSO PREVIOUSLY SERVED AS RESEARCH AND GRANTS MANAGER FOR NORTHWESTERN UNIVERSITY’S INSTITUTE FOR POLICY RESEARCH (IPR), WHERE SHE CONTRIBUTED TO MULTIPLE PRIVATELY AND FEDERALLY FUNDED RESEARCH STUDIES EXAMINING THE IMPLEMENTATION AND IMPACT OF TWO-GENERATION HUMAN CAPITAL AND ANTIPOVERTY INTERVENTIONS ON PARENTS, CHILDREN, AND FAMILIES.  ABSERA RECEIVED HER MA IN MEDICAL ANTHROPOLOGY AND MPH SPECIALIZING IN HEALTH PROMOTION AND DISEASE PREVENTION FROM CASE WESTERN RESERVE UNIVERSITY (CWRU). ABSERA WAS NAMED A 2019 EMERGING LEADER WITH THE CHICAGO COUNCIL ON GLOBAL AFFAIRS (CCGA) AND WAS MOST RECENTLY HONORED WITH THE EARLY CAREER LEADERSHIP AWARD FROM CWRU’S SCHOOL OF MEDICINE.|HARRIS SCHOOL OF PUBLIC POLICY
ADAM HAMM|AS A DESKTOP SUPPORT TECHNICIAN HERE AT HARRIS SCHOOL OF PUBLIC POLICY, ADAM PROVIDES IT SUPPORT RESPONDING TO INCOMING CALLS, WEB-SUBMISSIONS, AND EMAILS FOR ASSISTANCE FROM USERS EXPERIENCING TECHNICAL ISSUES. HE PERFORMS SET-UP, INSTALLATION, AND CONFIGURATION OF DESKTOP HARDWARE AND SOFTWARE IN COMPLIANCE WITH INTERNAL CONTROLS, POLICIES, AND STANDARDS. BEFORE JOINING HARRIS, ADAM WORKED AS A LEAD ANALYST FOR THE TECHNOLOGY SUPPORT CENTER AT ILLINOIS STATE UNIVERSITY IN NORMAL, ILLINOIS. IN ADDITION TO RESPONDING TO INCOMING INCIDENTS, HE SCHEDULED AND MANAGED OVER 30 STUDENTS BETWEEN THE TECHNOLOGY SUPPORT CENTER AND 3 OTHER COMPUTER LAB LOCATIONS AROUND CAMPUS. ADAM ALSO PARTICIPATED IN THE INTERVIEWING AND HIRING OF STUDENT EMPLOYEES AND SPENT TIME WORKING WITH APPLICATION ADMINISTRATORS TO LEARN ABOUT ENTERPRISE APPLICATIONS, ADMINISTRATION, AND FURTHER TROUBLESHOOTING. ADAM SPENT 4 YEARS STUDYING A VARIETY OF SUBJECTS AT THE UNIVERSITY OF WISCONSIN IN MADISON, WISCONSIN. HIS STUDIES RANGED FROM THEATRE TO JAPANESE-- WITH A FEW COMPUTER SCIENCE COURSES THROWN IN FOR GOOD MEASURE. HE WAS UNABLE TO OBTAIN A DEGREE DURING HIS TIME THERE BUT IS CURRENTLY LOOKING FOR FURTHER OPPORTUNITIES TO EXPAND HIS KNOWLEDGE AND EARN A DEGREE.|HARRIS SCHOOL OF PUBLIC POLICY
ADAM ZELIZER|ADAM ZELIZER STUDIES LEGISLATIVE POLITICS, WITH A FOCUS ON CAUSAL INFERENCE. HIS RESEARCH EXAMINES HOW LEGISLATORS MAKE DECISIONS – FOR EXAMPLE, HOW THEY ACQUIRE EXPERTISE FROM POLICY RESEARCH AND INFLUENCE ONE ANOTHER THROUGH DELIBERATION – AND THE EFFECTS OF INDIVIDUAL DECISION-MAKING PROCESSES ON POLICY OUTCOMES. ONE GOAL OF THIS RESEARCH IS TO FIGURE OUT WHICH LEGISLATIVE PROCESSES WORK, IN THE SENSE OF LEADING TO MORE INFORMED, EFFECTIVE, AND BROADLY-SUPPORTED PUBLIC POLICIES, AND WHICH DON’T.  HE RECEIVED HIS PH.D. IN POLITICAL SCIENCE FROM COLUMBIA UNIVERSITY IN 2018. HE ALSO HOLDS A BA IN POLITICAL ECONOMY FROM COLUMBIA UNIVERSITY. HE JOINS HARRIS AS AN ASSISTANT PROFESSOR AFTER SPENDING A YEAR AS A POSTDOCTORAL RESEARCHER AND INSTRUCTOR AT HARRIS, DURING WHICH HE TAUGHT ANALYTICAL POLITICS II AND FIELD EXPERIMENTS FOR PUBLIC POLICY. HIS RESEARCH HAS BEEN SUPPORTED BY THE NATIONAL SCIENCE FOUNDATION, RUSSELL SAGE FOUNDATION, CATO INSTITUTE, OPEN SOCIETY FOUNDATIONS, AND ABDUL LATIF JAMEEL POVERTY ACTION LAB.|HARRIS SCHOOL OF PUBLIC POLICY
ALEJANDRO MONROY-VELEZ|"ALEJANDRO MONROY IS THE ASSOCIATE DIRECTOR, CAREER READINESS & DEPUTY DIRECTOR, INTERNSHIP PROGRAMS IN THE CAREER DEVELOPMENT OFFICE (CDO) AT HARRIS PUBLIC POLICY. SINCE 2011, ALEJANDRO HAS BEEN WORKING WITH STUDENTS FROM HIGH SCHOOL TO GRADUATE SCHOOL IN VARIETY OF ROLES. WHETHER IN ADMISSIONS, ACADEMIC ADVISING, OR CAREER READINESS, AT HIS CORE, HE IS ENTHUSIASTIC ABOUT PARTNERING WITH STUDENTS TO GUIDE THEM THROUGH THEIR ACADEMIC AND CAREER GOALS. AT HARRIS, ALEJANDRO PARTNERS WITH CANDIDATES TO ENHANCE THEIR CAREER READINESS. HE ALSO MANAGES COMMUNICATIONS FOR CDO AND THE SUMMER INTERNSHIP FUND PROGRAM. 
MOST RECENTLY, ALEJANDRO COACHED MASTER’S CANDIDATES IN THEIR CAREER EXPLORATION AND READINESS AT THE UNIVERSITY OF CHICAGO SCHOOL OF SOCIAL SERVICE ADMINISTRATION (SSA). PRIOR TO SSA, ALEJANDRO WAS A HIGHER EDUCATION FELLOW AT THE CENTER FOR IDENTITY + INCLUSION AND PROGRAMMING ASSISTANT AT THE COLLEGIATE SCHOLARS PROGRAM, BOTH WITHIN THE UNIVERSITY OF CHICAGO. OUTSIDE OF HARRIS, ALEJANDRO IS A FREELANCE PHOTOGRAPHER. HE ALSO VOLUNTEERS WITH ORGANIZATIONS WORKING TO ADVANCE INCLUSIVE POLICIES AND COMMUNITIES AT THE INTERSECTION OF EDUCATION AND IMMIGRATION.
HE HOLDS A BA IN PSYCHOLOGY FROM NORTHEASTERN ILLINOIS UNIVERSITY, AND AN AM DEGREE IN SOCIAL SERVICE ADMINISTRATION FROM SSA AT THE UNIVERSITY OF CHICAGO."|HARRIS SCHOOL OF PUBLIC POLICY
ALEKSANDRA LUKINA|ALEKSANDRA LUKINA IS A RESEARCH ASSOCIATE AT THE HARRIS SCHOOL OF PUBLIC POLICY. PRIOR TO JOINING HARRIS, ALEKSANDRA WAS A POSTDOCTORAL ASSOCIATE AND A VISITING LECTURER AT CORNELL UNIVERSITY, A POSTDOCTORAL FELLOW AT THE UNIVERSITY OF WISCONSIN-MADISON AND A SENIOR LECTURER AT SAINT PETERSBURG STATE UNIVERSITY. SHE HOLDS A PHD IN APPLIED MATHEMATICS (RUSSIAN SCIENTIFIC DEGREE “CANDIDATE OF SCIENCE IN PHYSICS AND MATHEMATICS”) FROM SAINT PETERSBURG STATE UNIVERSITY. HER MAJOR INTERESTS LIE IN THE FIELD OF ECONOMIC THEORY AND MATHEMATICAL METHODS IN SOCIAL SCIENCE. IN PARTICULAR, HER RESEARCH FOCUSES ON STUDYING INTERGENERATIONAL MOBILITY AND INCOME INEQUALITY DYNAMICS.|HARRIS SCHOOL OF PUBLIC POLICY
ALEXANDER FOUIRNAIES|ALEXANDER FOUIRNAIES IS AN ASSISTANT PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HIS WORK CONCENTRATES ON THE POLITICAL ECONOMY OF ELECTIONS. MOST OF HIS RESEARCH FOCUSES ON HOW MONEY AND THE MEDIA SHAPE ELECTIONS AND AFFECT REPRESENTATION AND ACCOUNTABILITY. METHODOLOGICALLY, FOUIRNAIES HAS AN INTEREST IN CAUSAL INFERENCE AND APPLIED ECONOMETRICS.  MOST OF HIS PROJECTS USE NATURAL EXPERIMENTS TO UNCOVER CAUSAL RELATIONS BETWEEN POLITICAL AND ECONOMIC VARIABLES.  PRIOR TO JOINING HARRIS, FOUIRNAIES WAS A PRIZE-POSTDOCTORAL RESEARCH FELLOW AT NUFFIELD COLLEGE, OXFORD UNIVERSITY. HE EARNED HIS PHD AT THE LONDON SCHOOL OF ECONOMICS.|HARRIS SCHOOL OF PUBLIC POLICY
ALICIA MENENDEZ|ALICIA S. MENENDEZ IS A RESEARCH ASSOCIATE PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY AND A PRINCIPAL RESEARCH SCIENTIST AT NORC AT THE UNIVERSITY OF CHICAGO.  DR. MENENDEZ IS A DEVELOPMENT ECONOMIST. HER RESEARCH INTERESTS INCLUDE EDUCATION AND HEALTH, LABOR MARKETS, AND HOUSEHOLD BEHAVIOR. DR. MENENDEZ HAS DESIGNED AND MANAGED NUMEROUS QUANTITATIVE IMPACT EVALUATIONS AND QUALITATIVE EVALUATIONS, AND HAS DEVELOPED TOOLS AND OVERSEEN SURVEYS IN NUMEROUS DEVELOPING COUNTRIES. MENENDEZ RECEIVED HER PH.D. IN ECONOMICS FROM BOSTON UNIVERSITY. BEFORE COMING TO THE UNIVERSITY OF CHICAGO, SHE WAS A LECTURER IN PUBLIC AND INTERNATIONAL AFFAIRS AT THE WOODROW WILSON SCHOOL AND A RESEARCHER AT THE RESEARCH PROGRAM IN DEVELOPMENT STUDIES AT PRINCETON UNIVERSITY. (WITH U. HOADLEY AND A. SOLOVYEVA) WHILE MANY LOW-INCOME COUNTRIES HAVE DEMONSTRATED IMPRESSIVE PROGRESS IN ACCESS TO EDUCATION, THIS PROGRESS HAS NOT YET BEEN MATCHED WITH IMPROVEMENTS IN THE QUALITY OF EDUCATION AND ACADEMIC OUTCOMES. THE RESEARCH REPORTED IN THIS PAPER EXAMINED THE IMPACT OF THE READ LIBERIA INTERVENTION, A PROGRAM THAT PROVIDED TEACHER TRAINING AND COACHING, TEACHING AND LEARNING MATERIALS, AND COMMUNITY OUTREACH, AND REACHED 57,600 STUDENTS IN GRADE 1 AND 2 IN 640 SCHOOLS. WE EXPLOITED THE RANDOMIZED ASSIGNMENT OF SCHOOLS TO THE PROGRAM AND FOUND A LARGE POSITIVE EFFECT ON STUDENTS' ABILITY TO READ AND UNDERSTAND GRADE-APPROPRIATE TEXT. LITERACY (ORAL READING FLUENCY AND ORAL READING COMPREHENSION) AMONG STUDENTS IN THE TREATMENT SCHOOLS DOUBLED, ON AVERAGE, COMPARED TO THE CONTROL SCHOOLS. BASED ON THE ANALYSIS OF THE PROGRAM IMPLEMENTATION DATA, WE ARGUE THAT IMPROVEMENTS IN READING PERFORMANCE ARE DRIVEN BY THE AVAILABILITY AND UTILIZATION OF READ LIBERIA READING MATERIALS AND NOT BY IMPROVED TEACHING PRACTICES AT SCHOOLS. THIS CONFIRMS RESEARCH LITERATURE SUGGESTING IN CONTRAST TO PREVIOUS LITERATURE, THIS SUGGESTS THAT HIGH-QUALITY, AND WELL-LEVELED LEARNING MATERIALS IN THE HANDS OF STUDENTS MAY HAVE A POSITIVE IMPACT ON READING SKILLS INDEPENDENT OF CHANGES IN INSTRUCTIONAL PRACTICE.   (WITH ALEJANDRO OME)  EDUCATION ECONOMICS WE EVALUATE AN INTERVENTION USING SMS MESSAGING TO SEND SHORT STORIES TO 2ND AND 3RD GRADERS IN ZAMBIA’S EASTERN PROVINCE, AIMED AT IMPROVING READING SKILLS. FOR NINE MONTHS HOUSEHOLDS RECEIVED THREE TEXT MESSAGES WEEKLY COMPRISING A SHORT STORY FOR CHILDREN TO READ WITH THEIR FAMILIES, AND A QUESTION ABOUT THE STORY. ADDITIONALLY, PARENTS ATTENDED MONTHLY MEETINGS AIMED TO ADDRESS ANY PROGRAM IMPLEMENTATION ISSUES AND ENCOURAGE READING. THE PROGRAM HAD A POSITIVE IMPACT ON READING SKILLS, BETWEEN 19 AND 28 PERCENT OF A STANDARD DEVIATION. A COST-EFFECTIVENESS ANALYSIS SHOWS THAT EXPANDING THE PROGRAM NATIONALLY WOULD COST USD 20–22 PER CHILD. READ USING SMS AND PARENTAL OUTREACH TO IMPROVE EARLY READING SKILLS IN ZAMBIA SCHOOL ABSENTEEISM NEEDS IMMEDIATE ATTENTION INSTRUCTIONAL READING PRACTICES IN THE CLASSROOMS INTRACLUSTER CORRELATIONS FOR EARLY READING EVALUATIONS TEACHERS’ IMPLEMENTATION OF AN EARLY GRADE READING PROGRAM IN CLASSROOMS THE STUDENTS' OVERAGE PROBLEM WHY LULE STILL CAN’T READ AT THE END OF P3? IMPROVING EARLY GRADE READING IN NEPAL THE HIGH ABSENTEEISM OF TEACHERS AND LEARNERS IN UGANDA|HARRIS SCHOOL OF PUBLIC POLICY
ALLI FOLEY|"ALLI FOLEY IS THE SENIOR ASSOCIATE DIRECTOR, EMPLOYER PARTNERSHIPS AT THE HARRIS CAREER DEVELOPMENT OFFICE. IN THIS ROLE, SHE WORKS TO CONNECT HARRIS TALENT WITH GREAT EMPLOYERS IN INTERNSHIP AND POSTGRADUATE POSITIONS AS WELL AS SHARE THE HARRIS MPP BRAND GLOBALLY WITH INSTITUTIONS THAT ACHIEVE SOCIAL IMPACT.
PRIOR TO JOINING HARRIS, ALLI SERVED AS THE DIRECTOR OF LAUNCH U, AN EDUCATION-BASED NONPROFIT IN CHICAGO THAT CONNECTS UNDERSERVED HIGH SCHOOL SENIORS TO PROFESSIONAL MENTORS FOR GUIDANCE ON COLLEGE AND CAREERS. ALLI ALSO HAS A BACKGROUND IN EDUCATION, AND WAS AN ENGLISH TEACHER AND COLLEGE COUNSELOR FOR SIX YEARS IN DENVER AND CHICAGO.
ALLI EARNED HER BA IN ENGLISH AND PSYCHOLOGY AND ALSO COMPLETED HER MA IN EDUCATIONAL STUDIES WITH SECONDARY TEACHING CERTIFICATION AT THE UNIVERSITY OF MICHIGAN. GO BLUE!"|HARRIS SCHOOL OF PUBLIC POLICY
AMIR JINA|AMIR JINA IS AN ASSISTANT PROFESSOR AT HARRIS PUBLIC POLICY AND A SENIOR FELLOW AT THE ENERGY POLICY INSTITUTE OF CHICAGO (EPIC). AMIR'S RESEARCH IN ENVIRONMENTAL AND DEVELOPMENT ECONOMICS FOCUSES ON THE ROLE OF THE ENVIRONMENT IN SHAPING HOW SOCIETIES DEVELOP. THIS RESEARCH COMBINES ECONOMICS WITH METHODS FROM CLIMATE SCIENCE AND REMOTE SENSING TO UNDERSTAND THE IMPACTS OF CLIMATE IN BOTH RICH AND POOR COUNTRIES, AND HAS INVOLVED FIELDWORK RELATED TO CLIMATE CHANGE ADAPTATION WITH COMMUNITIES IN INDIA, BANGLADESH, KENYA, AND UGANDA. PRIOR TO UNIVERSITY OF CHICAGO, AMIR WAS A VISITING SCHOLAR AT THE UNIVERSITY OF CALIFORNIA, BERKELEY, WORKING ON THE ECONOMIC ANALYSIS OF THE RISKY BUSINESS INITIATIVE, AN INDEPENDENT ASSESSMENT OF THE ECONOMIC RISKS POSED BY A CHANGING CLIMATE IN THE US. AMIR IS A FOUNDING MEMBER OF THE CLIMATE IMPACT LAB - AN INTERDISCIPLINARY COLLABORATION EXAMINING THE SOCIOECONOMIC IMPACTS OF CLIMATE CHANGE AROUND THE WORLD - AND WAS ALSO A POSTDOCTORAL SCHOLAR AT THE ECONOMICS DEPARTMENT OF UNIVERSITY OF CHICAGO. AMIR RECEIVED A PH.D. IN SUSTAINABLE DEVELOPMENT AND M.A. IN CLIMATE AND SOCIETY BOTH FROM COLUMBIA UNIVERSITY, B.A.S IN MATHEMATICS AND THEORETICAL PHYSICS FROM TRINITY COLLEGE, DUBLIN, AND PREVIOUSLY WORKED WITH THE RED CROSS/RED CRESCENT IN SOUTH ASIA.|HARRIS SCHOOL OF PUBLIC POLICY
