name|faculty_of|model_name|has_phd_info|phd_where
**PROFESSOR LEVITSKY IS ON LEAVE FOR AY23-24**|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|FLORIDA STATE UNIVERSITY
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CALTECH
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ADAM LEIVE|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF PENNSYLVANIA’S WHARTON SCHOOL
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF PITTSBURGH
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
ADMITTED:|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NONE
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF EXETER
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF EXETER, ENGLAND
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AKASH DEEP|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|YALE UNIVERSITY
ALAIN DE JANVRY|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
ALAN GARBER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ALAN V. DEARDORFF|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CORNELL UNIVERSITY
ALAYNA FOGLE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ALBERT CARNESALE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF FLORIDA
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|SAINT PETERSBURG STATE UNIVERSITY
ALEX GREEN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ALEX KEYSSAR|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ALEX RALPH|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|LONDON SCHOOL OF ECONOMICS
ALFORD A. YOUNG, JR.|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
ALICE AGOGINO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|BOSTON UNIVERSITY
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ALLISON SHAPIRA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|PRINCETON UNIVERSITY
ALTON WORTHINGTON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
AMANDA KOWALSKI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MIT
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|TEXAS A&M UNIVERSITY
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
AMBASSADOR MARK PEKALA|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AMBASSADOR SUSAN D. PAGE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
AMITABH CHANDRA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
