name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE), HARVARD UNIVERSITY, 1967B.A.,|J.D., (CUM LAUDE),
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|IMPACT.  ABHILASH|IS TRAINED AS A PHYSICIST
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|GRANTS MANAGER FOR NORTHWESTERN UNIVERSITY’S INSTITUTE|INSTITUTE FOR POLICY RESEARCH (IPR), WHERE
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|ADMINISTRATION, AND FURTHER TROUBLESHOOTING.|OTHER COMPUTER LAB LOCATIONS AROUND CAMPUS. ADAM ALSO PARTICIPATED
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|EFFECTIVE, AND BROADLY-SUPPORTED PUBLIC POLICIES,|POLITICAL ECONOMY FROM COLUMBIA UNIVERSITY. HE
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY|ALEJANDRO COACHED MASTER’S CANDIDATES IN THEIR|READINESS & DEPUTY
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY|(RUSSIAN SCIENTIFIC DEGREE “CANDIDATE|PETERSBURG STATE UNIVERSITY. SHE
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY|SCHOOL|IS
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY|20–22 PER|20–22
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|TEACHING CERTIFICATION AT THE UNIVERSITY OF MICHIGAN. GO|CONNECTS UNDERSERVED HIGH SCHOOL SENIORS
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY, B.A.S|AMIR IS A FOUNDING MEMBER OF THE CLIMATE IMPACT LAB - AN
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|BROOKINGS INSTITUTION,|IN 2018, ANA DELVED INTO PATIENT-CENTERED
