name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL| 1967B.A., (WITH| 1967B.A., (WITH
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY| RESEARCH LAB| IN 2008,
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY| FEDERALLY FUNDED| UNIVERSITY (CWRU).
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY| KNOWLEDGE AND EARN A DEGREE.| SPENT 4
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY| IN 2018.| DECISIONS –
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY| ADMINISTRATION (SSA).| ADMINISTRATION (SSA).
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY| DEGREE “CANDIDATE| DEGREE “CANDIDATE
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY| ECONOMETRICS.  MOST| INFERENCE AND APPLIED ECONOMETRICS.  MOST
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY| USD 20–22| BETWEEN 19 AND 28 PERCENT OF A STANDARD DEVIATION.
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|" THAT ACHIEVE SOCIAL IMPACT.
PRIOR"|" THAT ACHIEVE SOCIAL IMPACT.
PRIOR"
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY| CROSS/RED CRESCENT IN SOUTH ASIA.| CROSS/RED CRESCENT IN SOUTH ASIA.
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|" SCHOLAR. 
ANA"| AND ADEPT PROJECT MANAGEMENT.
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY| THE KIMBELL ART MUSEUM.| THE LAB SCHOOL AND STUDENT HEALTH SERVICES. 
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY| MÉXICO (ITAM) IN MEXICO CITY.| MÉXICO (ITAM) IN MEXICO CITY.
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY| PUBLIC LAND,| POLICY RELATED
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY| TIMES BY U.| VISION (FDGV). (3)
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY| ISSUES DIVISION| AMERICAN UNIVERSITY OF BEIRUT.
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY| META-RESEARCH.| JOURNALS,
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY| PODCAST.| OF NOT ANOTHER POLITICS PODCAST.
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY| POLICIES (SUCH| POLICIES (SUCH
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY| OF COLOR.| OF COLOR.
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY| LAB, SHE IS LEADING A VARIETY OF FIELD| PARENTING LAB,
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY| EDUCATIONAL ACHIEVEMENTS,| INSTITUTE, URBAN
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY| FINANCE DIVISION.| FINANCE DIVISION. ASHLEY
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY| YEAR 2021-2022,| YEAR 2021-2022,
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 2007| UNIVERSITY, 2013M.S.,
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL| 1971M.A.,| 1971M.A.,
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL| ENGLANDCERTIFICATE IN EDUCATION, UNIVERSITY OF| EXETERM.B.A.,
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|MAAA,|MAAA,
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY| PROTECTION, AND HOUSING FINANCE REFORM. SHE PREVIOUSLY SERVED AS SPECIAL ASSISTANT FOR| PROTECTION, AND HOUSING FINANCE REFORM. SHE PREVIOUSLY SERVED AS SPECIAL ASSISTANT FOR
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYB.A.| UNIVERSITYB.A.
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL| PROFESSOR OF URBAN POLICY AND PLANNING. AT THE KENNEDY SCHOOL, HE HAS BEEN| PLANNING AT THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY, AND
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL| 2017M.A., UNIVERSITY OF FLORIDA,| 2017M.A., UNIVERSITY OF FLORIDA,
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCESPEA-P 507| SCIENCESPEA-P 507
