name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF OXFORD|UNIVERSITY OF OXFORD
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|CASE WESTERN RESERVE UNIVERSITY|CASE WESTERN RESERVE UNIVERSITY
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN|UNIVERSITY OF WISCONSIN
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY|SAINT PETERSBURG STATE UNIVERSITY|SAINT PETERSBURG STATE UNIVERSITY
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY|LONDON SCHOOL OF ECONOMICS|LONDON SCHOOL OF ECONOMICS
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY|BOSTON UNIVERSITY|BOSTON UNIVERSITY
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY|RICE UNIVERSITY|RICE UNIVERSITY
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY|INDIA|UNIVERSITY OF CHICAGO
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY|AMERICAN UNIVERSITY OF BEIRUT|AMERICAN UNIVERSITY OF BEIRUT
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY|LONDON SCHOOL OF ECONOMICS|LONDON SCHOOL OF ECONOMICS
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF ILLINOIS AT CHICAGO|SACRED HEART UNIVERSITY
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY|VILLANOVA UNIVERSITY|VILLANOVA UNIVERSITY
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY|PRINCETON UNIVERSITY|PRINCETON UNIVERSITY
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|FLORIDA STATE UNIVERSITY|FLORIDA STATE UNIVERSITY
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PITTSBURGH|UNIVERSITY OF PITTSBURGH
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF EXETER, ENGLANDCERTIFICATE|UNIVERSITY OF EXETER, ENGLANDCERTIFICATE
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|WABASH COLLEGE|O'NEILL SCHOOL, IU
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY|GEORGETOWN UNIVERSITY|"GEORGETOWN UNIVERSITY
MBA, NEW YORK UNIVERSITY
JD, COLUMBIA LAW SCHOOL"
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF FLORIDA|UNIVERSITY OF FLORIDA
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
