name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL| (WITH HIGH HONORS),| HARVARD UNIVERSITY,
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY| RHODES SCHOLARSHIP IN 2008, THE CLINTON GLOBAL INITIATIVE UNIVERSITY DISTINGUISHED ALUMNI AWARD,| UNIVERSITY OF OXFORD.
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY| CREDENTIAL AND NON-DEGREE PROGRAMS| CASE WESTERN RESERVE UNIVERSITY
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY| UNABLE TO OBTAIN A DEGREE| UNIVERSITY OF WISCONSIN IN MADISON, WISCONSIN.
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY| BROADLY-SUPPORTED PUBLIC POLICIES, AND WHICH DON’T.| COLUMBIA UNIVERSITY
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY| HIGHER EDUCATION FELLOW AT THE CENTER FOR IDENTITY + INCLUSION| UNIVERSITY OF CHICAGO.
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY| “CANDIDATE OF SCIENCE IN PHYSICS AND MATHEMATICS”)| SAINT PETERSBURG STATE UNIVERSITY.
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY| PRIZE-POSTDOCTORAL RESEARCH| LONDON SCHOOL OF ECONOMICS.
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY| PARENTS ATTENDED MONTHLY MEETINGS| RANDOMIZED ASSIGNMENT
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY| GO BLUE!| UNIVERSITY OF MICHIGAN.
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY| B.A.S IN MATHEMATICS AND THEORETICAL PHYSICS| UNIVERSITY OF CHICAGO.
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY| GOVERNANCE STUDIES| UNIVERSITY OF WISCONSIN-MADISON'S
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY| BA DEGREES IN ART HISTORY AND HISTORY| RICE UNIVERSITY, AND AN MA IN ART HISTORY FROM TCU.
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY| ANDRÉS HOLDS A MASTER OF PUBLIC POLICY FROM THE HARRIS SCHOOL OF PUBLIC POLICY| INSTITUTO TECNOLÓGICO AUTÓNOMO DE MÉXICO
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY| HCA FELLOW AND EARNED THE LEADERSHIP CREDENTIAL.| HCA
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY| ADULTS ON AVERAGE.| NATIONAL INDIAN SCHOOL LATRINE-CONSTRUCTION INITIATIVE
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY| VOLUNTEERED AT A SYRIAN REFUGEE SCHOOL| AMERICAN UNIVERSITY OF BEIRUT.
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY| RAPID SYSTEMATIC REVIEW METHODOLOGIES FOR PROVIDING HIGH-QUALITY EVIDENCE TO PROGRAM DESIGN| UNIVERSITY OF MICHIGAN
