name|faculty_of|has_phd_info|phd_where
A. JAMES BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ABHILASH MISHRA|HARRIS SCHOOL OF PUBLIC POLICY|CALTECH|CALTECH
ABSERA MELAKU|HARRIS SCHOOL OF PUBLIC POLICY|CASE WESTERN RESERVE UNIVERSITY (CWRU).|CASE WESTERN RESERVE UNIVERSITY
ADAM HAMM|HARRIS SCHOOL OF PUBLIC POLICY|MADISON, WISCONSIN|UNIVERSITY OF WISCONSIN
ADAM ZELIZER|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
ALEJANDRO MONROY-VELEZ|HARRIS SCHOOL OF PUBLIC POLICY|ALEJANDRO|UNIVERSITY OF CHICAGO
ALEKSANDRA LUKINA|HARRIS SCHOOL OF PUBLIC POLICY|SAINT PETERSBURG STATE UNIVERSITY|SAINT PETERSBURG STATE UNIVERSITY
ALEXANDER FOUIRNAIES|HARRIS SCHOOL OF PUBLIC POLICY|LONDON SCHOOL OF ECONOMICS|LONDON SCHOOL OF ECONOMICS
ALICIA MENENDEZ|HARRIS SCHOOL OF PUBLIC POLICY|BOSTON UNIVERSITY|BOSTON UNIVERSITY
ALLI FOLEY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS CAREER DEVELOPMENT OFFICE|UNIVERSITY OF MICHIGAN
AMIR JINA|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|GOVERNANCE STUDIES AT THE BROOKINGS INSTITUTION|UNIVERSITY OF WISCONSIN-MADISON
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY|TCU|RICE UNIVERSITY
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY|MEXICO CITY|PUBLIC SECTOR AT THE MEXICAN SENATE
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO FEMINIST FORUM|HARVARD UNIVERSITY GRADUATE SCHOOL OF EDUCATION
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY|PEARSON INSTITUTE|AMERICAN UNIVERSITY OF BEIRUT
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY|ECONOMICS|UNIVERSITY OF MICHIGAN
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY|THE UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY|LONDON SCHOOL OF ECONOMICS|LONDON SCHOOL OF ECONOMICS
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF ILLINOIS AT CHICAGO|UNIVERSITY OF ILLINOIS AT CHICAGO
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY|THE UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY| HARRIS SCHOOL OF PUBLIC POLICY
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS’ OWN EVENING MASTER’S PROGRAM|HARRIS’ OWN EVENING MASTER’S PROGRAM
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY|NEW ORLEANS, LOUISIANA|PRINCETON UNIVERSITY
